,MultiSamplingRandomSubspace_mean,KMeanClustering_mean,LearnppCDS_mean,LearnppNIE_mean,REA_mean,OUSE_mean,MLPClassifier_mean
gen/sd_features/stream_gen_20k_0.20_30_f100_normal_suddendrift,0.29885762162162166,0.2295297027027027,0.7414249459459459,0.7255579189189189,0.7439886486486487,0.6441349189189189,0.021335675675675674
gen/sd_features/stream_gen_20k_0.20_30_f10_normal_suddendrift,0.0978905945945946,0.13193335135135137,0.14705497297297299,0.12637378378378375,0.14906921621621622,0.1370328108108108,0.10196040540540542
gen/sd_features/stream_gen_20k_0.20_30_f15_normal_suddendrift,0.09702683783783786,0.14842535135135135,0.18334370270270267,0.15957702702702703,0.21753091891891885,0.10737656756756757,0.011269351351351346
gen/sd_features/stream_gen_20k_0.20_30_f20_normal_suddendrift,0.11795035135135135,0.11845724324324322,0.1485688108108108,0.13626435135135137,0.16778675675675672,0.04191286486486487,0.0488641081081081
gen/sd_features/stream_gen_20k_0.20_30_f25_normal_suddendrift,0.11451005405405405,0.24572070270270271,0.4346106216216216,0.4156074324324324,0.42933629729729733,0.38700486486486485,0.11590486486486486
gen/sd_features/stream_gen_20k_0.20_30_f30_normal_suddendrift,0.22667902702702702,0.2753445405405405,0.5818206486486486,0.4605071081081081,0.5322648378378378,0.42307145945945945,0.00728532432432433
gen/sd_features/stream_gen_20k_0.20_30_f35_normal_suddendrift,0.052412783783783785,0.021989567567567567,0.12954827027027027,0.1702054324324324,0.12295213513513512,0.09588991891891893,0.0393914054054054
gen/sd_features/stream_gen_20k_0.20_30_f40_normal_suddendrift,0.11560532432432431,-0.006118270270270263,0.10469575675675676,0.09734064864864864,0.08426029729729731,0.07594343243243244,0.04202008108108108
gen/sd_features/stream_gen_20k_0.20_30_f45_normal_suddendrift,0.1665031081081081,0.4128654864864865,0.6280901351351351,0.350305918918919,0.5265495135135134,0.5478764324324324,0.077265
gen/sd_features/stream_gen_20k_0.20_30_f50_normal_suddendrift,0.32867216216216216,0.30825021621621623,0.7995184864864864,0.6555317027027027,0.7939988378378378,0.7226861351351351,0.06782016216216218
gen/sd_features/stream_gen_20k_0.20_30_f55_normal_suddendrift,0.2014473243243243,0.053803729729729716,0.2230910540540541,0.16195072972972974,0.2226462702702703,0.16023199999999999,0.04929281081081081
gen/sd_features/stream_gen_20k_0.20_30_f60_normal_suddendrift,0.01004456756756757,0.06724445945945948,0.12687554054054057,0.13017013513513512,0.14535975675675675,0.17397002702702702,-0.006719783783783781
gen/sd_features/stream_gen_20k_0.20_30_f65_normal_suddendrift,0.16818381081081082,0.11709624324324328,0.27457781081081084,0.20342735135135137,0.2958572162162163,0.24890813513513513,0.08997564864864863
gen/sd_features/stream_gen_20k_0.20_30_f70_normal_suddendrift,0.288697,0.15236529729729725,0.6507116486486486,0.5929336216216216,0.6063407567567568,0.5297499729729729,0.015093594594594596
gen/sd_features/stream_gen_20k_0.20_30_f75_normal_suddendrift,0.2676399189189189,0.25663886486486487,0.7477054864864865,0.648777918918919,0.7495097297297297,0.6763685135135135,0.03542472972972972
gen/sd_features/stream_gen_20k_0.20_30_f80_normal_suddendrift,0.09489062162162161,3.0405405405404682e-05,0.13726970270270272,0.15510113513513515,0.0829512162162162,0.05834278378378378,0.019044054054054058
gen/sd_features/stream_gen_20k_0.20_30_f85_normal_suddendrift,0.1601638108108108,0.29042913513513524,0.47245218918918913,0.28606172972972976,0.42608710810810807,0.395702972972973,-0.007823432432432428
gen/sd_features/stream_gen_20k_0.20_30_f90_normal_suddendrift,0.2928042432432433,0.06671305405405405,0.6458837837837837,0.6299562162162163,0.6316985945945945,0.5972227837837839,0.1048176756756757
gen/sd_features/stream_gen_20k_0.20_30_f95_normal_suddendrift,0.19739805405405403,0.02334708108108108,0.46473475675675674,0.41408789189189193,0.4830317027027027,0.46746889189189195,0.026594891891891896
